,Income_Category
4641,Unknown
5237,Less than $40K
7308,Less than $40K
4912,$120K +
9990,$60K - $80K
3935,Unknown
6717,Less than $40K
8551,Less than $40K
4402,Less than $40K
7645,Less than $40K
6754,Less than $40K
10126,Less than $40K
1173,Less than $40K
8471,$60K - $80K
9636,$40K - $60K
6602,Less than $40K
1948,$120K +
8405,Less than $40K
3994,$80K - $120K
8591,$80K - $120K
1695,$80K - $120K
230,$40K - $60K
1193,Less than $40K
10103,$80K - $120K
2645,Less than $40K
6123,$40K - $60K
2944,$80K - $120K
5180,Unknown
923,Less than $40K
1978,$40K - $60K
6506,$60K - $80K
7856,$120K +
3789,Unknown
9799,Unknown
7560,Less than $40K
1075,Less than $40K
41,$40K - $60K
6503,Less than $40K
4381,$80K - $120K
389,Less than $40K
2120,Less than $40K
9816,Less than $40K
7701,Less than $40K
3473,Less than $40K
4835,$120K +
2532,$80K - $120K
651,$80K - $120K
6581,Less than $40K
2319,$60K - $80K
5813,$60K - $80K
7687,Unknown
5876,Less than $40K
4159,Less than $40K
5392,$80K - $120K
6154,Less than $40K
2884,Less than $40K
7618,Less than $40K
10090,$40K - $60K
977,$60K - $80K
8494,Less than $40K
9616,$40K - $60K
2727,$80K - $120K
5048,$40K - $60K
9017,$80K - $120K
4818,Less than $40K
7058,Less than $40K
293,$40K - $60K
5838,Less than $40K
1475,$120K +
6704,$40K - $60K
9336,Less than $40K
8310,Unknown
9211,$60K - $80K
1377,$40K - $60K
7068,Less than $40K
992,$40K - $60K
2249,Unknown
7532,$60K - $80K
3658,$80K - $120K
9950,$120K +
8039,Unknown
2477,$80K - $120K
6041,Less than $40K
7765,$60K - $80K
7703,Less than $40K
7287,Less than $40K
1287,Less than $40K
6955,Less than $40K
2262,$80K - $120K
8821,Less than $40K
5386,Less than $40K
6046,$60K - $80K
8078,$80K - $120K
7387,Less than $40K
5954,Less than $40K
3399,$80K - $120K
6849,Unknown
4348,Unknown
9156,$120K +
277,Less than $40K
7340,Unknown
1991,$120K +
3414,Unknown
6835,$40K - $60K
3665,$80K - $120K
9150,Less than $40K
4670,Less than $40K
6689,$80K - $120K
8764,$40K - $60K
2756,Less than $40K
5964,Less than $40K
9519,Less than $40K
77,Less than $40K
1466,$120K +
9033,$60K - $80K
1068,Unknown
2116,Less than $40K
4418,Less than $40K
7017,$80K - $120K
496,$120K +
4546,$60K - $80K
3703,Less than $40K
9351,$80K - $120K
606,Less than $40K
3989,Unknown
5287,Less than $40K
1491,Less than $40K
5199,Less than $40K
4096,$40K - $60K
6398,Less than $40K
5272,Less than $40K
7322,$40K - $60K
6257,$40K - $60K
8291,$40K - $60K
7040,$120K +
8217,$60K - $80K
2232,Unknown
6826,$80K - $120K
5695,Unknown
2483,$40K - $60K
9440,$80K - $120K
5730,$120K +
7533,$40K - $60K
8616,$60K - $80K
5526,$40K - $60K
9580,Less than $40K
4354,$80K - $120K
4725,Less than $40K
3398,$60K - $80K
10086,$80K - $120K
5598,Less than $40K
4847,$40K - $60K
9730,Unknown
3501,Less than $40K
4872,$80K - $120K
2656,$80K - $120K
6119,Less than $40K
4211,Less than $40K
6598,$120K +
3996,$60K - $80K
5236,Less than $40K
8281,$60K - $80K
395,$40K - $60K
1119,$40K - $60K
7009,Less than $40K
6249,Less than $40K
5067,Unknown
6841,Unknown
7916,$40K - $60K
6335,Less than $40K
2911,$80K - $120K
2980,$60K - $80K
7979,$60K - $80K
9536,$40K - $60K
1341,$80K - $120K
2489,Less than $40K
2490,$60K - $80K
5127,Less than $40K
3280,$80K - $120K
5973,Less than $40K
1405,Unknown
9095,$40K - $60K
8552,Less than $40K
5691,Less than $40K
9635,Less than $40K
6277,Less than $40K
8264,$40K - $60K
45,$80K - $120K
5239,Less than $40K
6965,Less than $40K
7822,Less than $40K
8883,Less than $40K
6499,$60K - $80K
5665,Less than $40K
7424,$40K - $60K
8380,Less than $40K
5604,Unknown
8064,Less than $40K
3592,Less than $40K
8822,Unknown
4528,$80K - $120K
238,$40K - $60K
9618,$120K +
3218,$60K - $80K
2561,$120K +
9106,Unknown
1158,$60K - $80K
4213,$120K +
9740,Less than $40K
7171,Less than $40K
7689,Unknown
809,$80K - $120K
5790,Less than $40K
10048,$80K - $120K
8914,$80K - $120K
922,$80K - $120K
940,Less than $40K
55,Less than $40K
8352,Less than $40K
5705,Less than $40K
1038,Less than $40K
9581,$80K - $120K
5495,Unknown
8641,$60K - $80K
8200,Less than $40K
3362,$60K - $80K
8180,Less than $40K
4963,$40K - $60K
10060,$40K - $60K
3977,$80K - $120K
3739,Less than $40K
8026,Less than $40K
9480,Unknown
3410,Less than $40K
3340,Less than $40K
3041,$60K - $80K
661,Less than $40K
3798,Less than $40K
3187,$120K +
7185,$80K - $120K
7739,Unknown
7421,$80K - $120K
2703,Less than $40K
735,Unknown
4346,Unknown
7805,$80K - $120K
3421,Less than $40K
9566,Less than $40K
3144,Unknown
4489,$120K +
6937,Less than $40K
1392,Unknown
4522,Less than $40K
3785,$60K - $80K
4941,$80K - $120K
2734,$60K - $80K
2568,Unknown
10111,$60K - $80K
2633,$120K +
5993,$60K - $80K
3892,$120K +
1972,$40K - $60K
8941,$40K - $60K
7715,Less than $40K
7978,$40K - $60K
7927,Unknown
9960,Less than $40K
2102,$40K - $60K
8481,Unknown
6589,Less than $40K
2191,$80K - $120K
1018,$60K - $80K
5355,$60K - $80K
3111,Unknown
6647,Unknown
7632,Less than $40K
7854,Unknown
1836,$60K - $80K
3226,$120K +
4073,Less than $40K
8014,Less than $40K
8988,$80K - $120K
4569,$80K - $120K
9465,$60K - $80K
5760,Less than $40K
3087,Unknown
4422,Less than $40K
783,Less than $40K
3014,Less than $40K
150,$80K - $120K
5517,$60K - $80K
9196,Less than $40K
4829,$80K - $120K
1039,Less than $40K
5037,$40K - $60K
2603,$60K - $80K
4232,$120K +
9539,$40K - $60K
7836,Unknown
7636,$40K - $60K
9884,$80K - $120K
5735,$80K - $120K
6960,Less than $40K
449,$80K - $120K
6836,Less than $40K
7686,Unknown
1702,Less than $40K
2165,$60K - $80K
8100,Less than $40K
4093,$60K - $80K
1078,Less than $40K
8442,Unknown
3678,$120K +
5206,Less than $40K
5314,Unknown
1863,$80K - $120K
4481,Less than $40K
9948,$80K - $120K
7945,$40K - $60K
8235,Less than $40K
7395,Less than $40K
9814,$40K - $60K
3236,$60K - $80K
2729,Less than $40K
6961,Less than $40K
1354,Less than $40K
5809,Less than $40K
27,$60K - $80K
754,$60K - $80K
8855,Less than $40K
3896,$60K - $80K
142,$80K - $120K
5716,Less than $40K
6635,$120K +
10063,$80K - $120K
2622,$80K - $120K
6348,$80K - $120K
3283,$120K +
2364,$80K - $120K
4982,$80K - $120K
6102,Less than $40K
3843,$40K - $60K
6271,$40K - $60K
4728,$60K - $80K
5188,$120K +
9316,$40K - $60K
1303,$60K - $80K
7439,Unknown
6938,$60K - $80K
1655,$40K - $60K
10116,$80K - $120K
1553,Unknown
1995,$80K - $120K
3666,$40K - $60K
5419,$40K - $60K
6789,Less than $40K
7826,Less than $40K
8272,$60K - $80K
3119,Less than $40K
9378,$80K - $120K
6877,$40K - $60K
2219,$60K - $80K
7951,Less than $40K
2137,Less than $40K
4838,Unknown
2366,Less than $40K
8635,$80K - $120K
1920,$80K - $120K
443,$80K - $120K
7901,$80K - $120K
3903,Less than $40K
2608,$80K - $120K
5771,Less than $40K
2687,Less than $40K
577,$60K - $80K
4487,Unknown
4171,$80K - $120K
1611,Less than $40K
6062,$120K +
6421,Less than $40K
9119,Less than $40K
9013,Less than $40K
8642,Unknown
6427,Less than $40K
2092,Less than $40K
9797,Less than $40K
2657,$40K - $60K
2180,Unknown
3418,$40K - $60K
5345,Less than $40K
8073,Less than $40K
4807,Less than $40K
7486,$60K - $80K
4794,Less than $40K
2025,Less than $40K
9912,$80K - $120K
8881,$80K - $120K
1422,$120K +
4655,$80K - $120K
7066,$80K - $120K
6868,Unknown
4223,Unknown
4382,$120K +
5842,$60K - $80K
6356,Less than $40K
5227,$120K +
1244,Less than $40K
7136,Unknown
6677,$60K - $80K
5339,$40K - $60K
4236,Unknown
6163,$80K - $120K
1293,$80K - $120K
871,$60K - $80K
1753,$40K - $60K
8473,Unknown
9759,$120K +
1874,$80K - $120K
2860,$60K - $80K
9328,$120K +
7178,$80K - $120K
9050,$80K - $120K
9866,$40K - $60K
10044,Less than $40K
9848,$40K - $60K
1326,$60K - $80K
4056,$60K - $80K
8397,Less than $40K
9190,$120K +
5070,Less than $40K
784,$80K - $120K
4868,$60K - $80K
1590,$40K - $60K
332,Less than $40K
6762,$40K - $60K
601,$40K - $60K
176,$80K - $120K
742,$60K - $80K
7041,Less than $40K
1550,$40K - $60K
838,$60K - $80K
1505,Less than $40K
4030,Less than $40K
3056,Less than $40K
8843,$80K - $120K
3535,$120K +
2682,$60K - $80K
5159,$40K - $60K
441,Less than $40K
5787,$40K - $60K
7702,Less than $40K
3346,$60K - $80K
3874,Unknown
557,$80K - $120K
1046,$80K - $120K
9350,$60K - $80K
6424,Less than $40K
2583,$120K +
2192,Less than $40K
8750,$40K - $60K
5759,$40K - $60K
5912,$60K - $80K
6199,Less than $40K
4390,$80K - $120K
5542,Less than $40K
7741,$60K - $80K
6379,$40K - $60K
6147,Unknown
4118,Unknown
5197,Unknown
3529,$40K - $60K
2531,$40K - $60K
3361,$60K - $80K
6075,$60K - $80K
5477,Less than $40K
9820,$80K - $120K
7981,Unknown
3734,$40K - $60K
9696,Unknown
1934,Less than $40K
9248,$120K +
2701,$40K - $60K
1537,Less than $40K
2215,Less than $40K
7997,Less than $40K
9910,$80K - $120K
3253,$120K +
5652,$80K - $120K
3681,Less than $40K
1207,$60K - $80K
8603,$40K - $60K
9630,$120K +
6536,Less than $40K
9204,$80K - $120K
8736,Less than $40K
1938,$60K - $80K
9889,$40K - $60K
6963,$40K - $60K
4653,Less than $40K
6326,Unknown
3746,Less than $40K
7991,$80K - $120K
1138,$120K +
7034,Less than $40K
5145,$80K - $120K
2065,Less than $40K
165,Less than $40K
487,$80K - $120K
4866,Less than $40K
6988,Less than $40K
5106,$40K - $60K
3147,$60K - $80K
3020,$80K - $120K
1854,Unknown
8330,Less than $40K
1111,$80K - $120K
6158,Less than $40K
5361,$40K - $60K
4062,$60K - $80K
568,$80K - $120K
5616,Less than $40K
1744,Less than $40K
5895,Less than $40K
4726,Unknown
981,$40K - $60K
1188,Unknown
6968,Less than $40K
7314,Less than $40K
3210,$60K - $80K
7913,$40K - $60K
6729,$40K - $60K
927,$80K - $120K
8091,$40K - $60K
4064,$80K - $120K
666,Less than $40K
2745,Less than $40K
3090,Less than $40K
8647,$120K +
9556,Unknown
2085,$80K - $120K
796,Less than $40K
8220,Less than $40K
866,Less than $40K
2148,$120K +
8001,Less than $40K
7782,$40K - $60K
3599,$40K - $60K
317,Less than $40K
6298,$40K - $60K
9897,Less than $40K
4094,$40K - $60K
5256,$120K +
5306,Less than $40K
5837,Less than $40K
8999,$80K - $120K
9837,$60K - $80K
3140,Unknown
3232,$40K - $60K
5018,Unknown
7554,$60K - $80K
6462,$60K - $80K
3079,Less than $40K
2270,$120K +
552,Less than $40K
4007,Unknown
7083,Less than $40K
2434,$40K - $60K
428,$120K +
422,$60K - $80K
7115,Less than $40K
7526,Less than $40K
1811,$40K - $60K
4292,$40K - $60K
3651,Unknown
7220,Less than $40K
2834,$80K - $120K
5436,Unknown
5693,Less than $40K
2892,$60K - $80K
362,$120K +
3636,$80K - $120K
7792,Less than $40K
10012,$80K - $120K
8226,Unknown
985,$40K - $60K
8521,$40K - $60K
7226,Unknown
6442,Unknown
8620,$60K - $80K
1327,$60K - $80K
3707,Less than $40K
535,$40K - $60K
6606,$40K - $60K
6013,$80K - $120K
2142,$80K - $120K
6728,Less than $40K
10034,$60K - $80K
3978,Less than $40K
9629,$60K - $80K
8949,Unknown
8754,Less than $40K
2259,Less than $40K
7183,Unknown
2644,$40K - $60K
8433,Less than $40K
6842,Less than $40K
2168,$40K - $60K
3920,Less than $40K
1343,Less than $40K
5423,$40K - $60K
7935,$60K - $80K
3221,$80K - $120K
256,$60K - $80K
7925,Less than $40K
4747,Unknown
246,Unknown
7205,$80K - $120K
4811,Unknown
7847,Less than $40K
1725,Unknown
5000,Less than $40K
6703,$80K - $120K
5565,$60K - $80K
7075,Less than $40K
6337,$80K - $120K
5092,$120K +
4350,$40K - $60K
8804,$80K - $120K
6892,$80K - $120K
5773,$40K - $60K
4282,$60K - $80K
4975,Less than $40K
3409,$40K - $60K
5499,$40K - $60K
2474,$60K - $80K
2585,$80K - $120K
8932,$60K - $80K
1009,$60K - $80K
9045,Less than $40K
3680,Less than $40K
5854,Unknown
3349,$80K - $120K
5586,$60K - $80K
7319,Less than $40K
6336,$60K - $80K
9813,$120K +
3488,$60K - $80K
5010,Less than $40K
8621,Unknown
7894,Less than $40K
5234,Less than $40K
7084,$120K +
5544,Less than $40K
9612,$40K - $60K
1300,Less than $40K
2050,Unknown
5587,$60K - $80K
8841,$40K - $60K
1560,Unknown
521,Less than $40K
1339,$80K - $120K
6211,Less than $40K
8871,$120K +
6993,$40K - $60K
1523,Unknown
9971,Less than $40K
2090,Unknown
2891,Less than $40K
1955,Less than $40K
3626,Less than $40K
2293,$80K - $120K
5505,Unknown
4914,$60K - $80K
8455,$40K - $60K
4125,$120K +
2041,Less than $40K
7855,Less than $40K
5862,Less than $40K
7452,Unknown
6362,$60K - $80K
9839,Less than $40K
7737,Less than $40K
138,Unknown
4349,Unknown
6301,Less than $40K
4857,Unknown
6662,$40K - $60K
10077,$40K - $60K
3259,$80K - $120K
3446,$80K - $120K
3208,$60K - $80K
8101,$80K - $120K
8922,$120K +
1898,$80K - $120K
7791,$80K - $120K
7609,$80K - $120K
10065,$60K - $80K
9041,$80K - $120K
8783,$40K - $60K
4024,$80K - $120K
6538,$60K - $80K
28,Unknown
6399,Unknown
295,$40K - $60K
6048,$40K - $60K
7433,Unknown
10049,Less than $40K
2700,$60K - $80K
7760,Less than $40K
6343,$60K - $80K
7898,Unknown
2368,$80K - $120K
2962,Less than $40K
9529,$40K - $60K
4071,Less than $40K
847,$120K +
4092,Unknown
1605,Less than $40K
4616,Unknown
4858,Unknown
6351,Less than $40K
1166,Less than $40K
3958,Less than $40K
3141,$60K - $80K
8789,Unknown
7956,$40K - $60K
6725,Unknown
3102,$60K - $80K
2028,Less than $40K
3639,$80K - $120K
7192,Less than $40K
1404,$60K - $80K
4584,Unknown
5270,Less than $40K
9366,Less than $40K
6322,$40K - $60K
4671,Less than $40K
5059,$40K - $60K
4435,Less than $40K
7074,Less than $40K
6246,Less than $40K
9946,$40K - $60K
9590,$40K - $60K
2272,Unknown
6964,Unknown
2614,$40K - $60K
239,$80K - $120K
8495,$80K - $120K
4860,$60K - $80K
8819,Unknown
384,Less than $40K
846,$60K - $80K
7975,$80K - $120K
205,Less than $40K
7456,$60K - $80K
8979,$40K - $60K
9235,Less than $40K
6324,Less than $40K
9787,$40K - $60K
1183,$80K - $120K
6507,Less than $40K
3522,Less than $40K
7697,$40K - $60K
588,Less than $40K
9845,$120K +
8944,Less than $40K
9185,Unknown
1577,$120K +
305,$120K +
5703,Less than $40K
2675,Less than $40K
7734,Unknown
3356,$60K - $80K
7977,$40K - $60K
9012,$80K - $120K
7062,$40K - $60K
159,Less than $40K
4678,Less than $40K
1907,$60K - $80K
5383,$40K - $60K
748,Less than $40K
8400,Less than $40K
6583,$40K - $60K
3672,Unknown
9401,$40K - $60K
3197,$40K - $60K
7035,$40K - $60K
8057,$40K - $60K
6599,Less than $40K
6705,$60K - $80K
571,$80K - $120K
5148,$40K - $60K
3938,$80K - $120K
7474,$40K - $60K
5828,Less than $40K
2044,$40K - $60K
9927,$40K - $60K
3407,Unknown
9011,Less than $40K
3042,$40K - $60K
1130,Unknown
9985,Unknown
6104,$60K - $80K
7942,Less than $40K
1247,$80K - $120K
6669,Less than $40K
1278,Unknown
2913,Less than $40K
180,$40K - $60K
4689,Less than $40K
8465,Less than $40K
5984,$40K - $60K
8526,Less than $40K
4129,$40K - $60K
9121,$40K - $60K
3670,$80K - $120K
6875,$40K - $60K
4016,Less than $40K
9114,$60K - $80K
2833,$80K - $120K
3804,$60K - $80K
7016,Unknown
9164,Less than $40K
6920,$40K - $60K
3846,Less than $40K
673,$120K +
8650,Less than $40K
3143,Less than $40K
4846,$80K - $120K
495,$80K - $120K
6291,Less than $40K
5083,$40K - $60K
2455,$60K - $80K
8460,Less than $40K
3979,Less than $40K
6812,$40K - $60K
3615,Less than $40K
6906,$40K - $60K
4922,$80K - $120K
1559,$60K - $80K
4032,Less than $40K
4181,$60K - $80K
3492,$60K - $80K
8441,Unknown
104,$60K - $80K
8857,$120K +
6164,$60K - $80K
5713,Less than $40K
8557,$60K - $80K
8863,$40K - $60K
888,$60K - $80K
1280,$80K - $120K
3373,Less than $40K
1648,$80K - $120K
8969,Unknown
1570,$60K - $80K
1893,Less than $40K
4398,$120K +
934,Less than $40K
2002,$40K - $60K
8149,$60K - $80K
3359,$60K - $80K
3579,Less than $40K
7055,$120K +
4359,$40K - $60K
4215,Unknown
8817,$120K +
5446,Less than $40K
9450,Less than $40K
965,$60K - $80K
2646,Less than $40K
3995,$60K - $80K
7717,Unknown
2444,Less than $40K
3506,$80K - $120K
8512,Less than $40K
546,$120K +
7953,Less than $40K
7575,$120K +
8260,$60K - $80K
2566,Less than $40K
9997,$60K - $80K
9324,$120K +
5031,Less than $40K
516,Less than $40K
7783,Less than $40K
9019,$40K - $60K
5917,Unknown
5460,$60K - $80K
3297,Less than $40K
8029,Less than $40K
6641,$120K +
3942,Less than $40K
4909,Unknown
3454,Less than $40K
7143,$40K - $60K
9741,$80K - $120K
1601,$60K - $80K
7113,Unknown
3469,$80K - $120K
679,Less than $40K
2244,$60K - $80K
3500,$120K +
7191,Less than $40K
1552,Less than $40K
2637,$80K - $120K
7787,Less than $40K
20,$60K - $80K
6763,$40K - $60K
7834,$80K - $120K
4870,Less than $40K
110,$60K - $80K
8344,$60K - $80K
6843,$60K - $80K
4644,Less than $40K
9753,Less than $40K
8157,Less than $40K
2746,$40K - $60K
7125,$120K +
3055,$60K - $80K
1237,Less than $40K
2847,$120K +
9651,$80K - $120K
285,$80K - $120K
7720,$40K - $60K
3617,$120K +
2902,$80K - $120K
3701,$80K - $120K
5222,$40K - $60K
7286,Less than $40K
5983,Less than $40K
8331,Less than $40K
3021,Less than $40K
1118,$40K - $60K
5870,$80K - $120K
9771,Less than $40K
7408,Less than $40K
350,Less than $40K
21,Less than $40K
4048,$80K - $120K
7480,Less than $40K
9194,Less than $40K
9819,Less than $40K
1425,Less than $40K
264,$40K - $60K
6825,$40K - $60K
5275,Less than $40K
3388,Less than $40K
5962,Unknown
6445,Less than $40K
8234,Less than $40K
6542,$40K - $60K
9561,$80K - $120K
7472,Unknown
7238,Less than $40K
6264,Less than $40K
5943,Unknown
1973,$80K - $120K
5260,Less than $40K
179,$40K - $60K
3698,$40K - $60K
5677,Less than $40K
9462,$80K - $120K
7374,Less than $40K
8334,$40K - $60K
6484,Less than $40K
1583,$80K - $120K
4344,Less than $40K
4036,$120K +
9258,Less than $40K
1716,$40K - $60K
6029,$60K - $80K
3272,Less than $40K
3675,$40K - $60K
7736,$60K - $80K
4990,$60K - $80K
5161,Less than $40K
8370,Less than $40K
8967,$80K - $120K
6584,Less than $40K
2425,$60K - $80K
5303,$80K - $120K
5273,$60K - $80K
6115,Unknown
2402,$60K - $80K
5137,Less than $40K
2955,Unknown
9687,$40K - $60K
9485,$60K - $80K
7267,$40K - $60K
7038,$120K +
32,$60K - $80K
7505,$40K - $60K
6978,$60K - $80K
8035,Less than $40K
8831,$80K - $120K
3012,$40K - $60K
2715,$60K - $80K
1630,$40K - $60K
7023,$80K - $120K
1551,$80K - $120K
7331,$60K - $80K
209,$120K +
1767,$120K +
7363,$80K - $120K
2076,$120K +
9334,$60K - $80K
4503,Unknown
2540,$60K - $80K
9084,$40K - $60K
9855,$40K - $60K
7932,$80K - $120K
6180,$40K - $60K
1815,$80K - $120K
218,$80K - $120K
8054,$40K - $60K
7581,Less than $40K
1286,Less than $40K
2890,$80K - $120K
1123,Unknown
6371,$60K - $80K
265,Less than $40K
6209,Less than $40K
2705,$60K - $80K
1820,$40K - $60K
721,Less than $40K
4312,$120K +
6028,Unknown
5487,$80K - $120K
6981,$40K - $60K
6681,Unknown
6994,Less than $40K
1807,Less than $40K
4427,$40K - $60K
8722,$60K - $80K
929,Less than $40K
8691,Less than $40K
8324,Less than $40K
595,$80K - $120K
8387,$40K - $60K
3974,Less than $40K
7580,$120K +
2094,Unknown
375,Unknown
7147,Less than $40K
3637,$40K - $60K
2581,Less than $40K
5845,Less than $40K
3342,$80K - $120K
4113,Less than $40K
3511,Unknown
398,$120K +
7496,Unknown
5036,$60K - $80K
3400,Less than $40K
8191,Unknown
6512,$60K - $80K
4338,$40K - $60K
5618,Unknown
3448,$40K - $60K
2325,Less than $40K
5559,Less than $40K
851,Unknown
6694,$40K - $60K
1423,$80K - $120K
4877,Less than $40K
4407,$60K - $80K
4762,Less than $40K
9526,$80K - $120K
6734,Unknown
1428,$120K +
823,Unknown
5907,Less than $40K
613,Less than $40K
2922,Less than $40K
1203,$60K - $80K
5307,$60K - $80K
2849,$40K - $60K
4476,$60K - $80K
4636,$60K - $80K
6132,$80K - $120K
2974,$80K - $120K
8753,$60K - $80K
5595,Unknown
9864,Less than $40K
3231,$120K +
8266,Less than $40K
9758,$80K - $120K
10075,Less than $40K
8126,Less than $40K
4949,$60K - $80K
4934,$80K - $120K
6690,Unknown
1184,$80K - $120K
7851,Less than $40K
9063,$80K - $120K
4504,$60K - $80K
1544,$40K - $60K
3004,$80K - $120K
5043,Less than $40K
6656,$60K - $80K
798,$80K - $120K
1310,$60K - $80K
8730,$40K - $60K
3861,Less than $40K
9252,$40K - $60K
1831,Less than $40K
2,$80K - $120K
4771,Less than $40K
7931,$40K - $60K
6832,Less than $40K
6149,Less than $40K
9056,$80K - $120K
7850,$40K - $60K
8624,$80K - $120K
6327,Less than $40K
8769,$40K - $60K
7862,$60K - $80K
2854,Less than $40K
9617,$40K - $60K
5852,Less than $40K
4893,Unknown
6108,$40K - $60K
7668,Less than $40K
5731,Less than $40K
7432,Unknown
5953,Less than $40K
6476,$40K - $60K
8511,Less than $40K
877,Unknown
3549,Less than $40K
187,Less than $40K
8174,$80K - $120K
1498,$60K - $80K
4376,Less than $40K
4137,$60K - $80K
2307,Less than $40K
5445,$40K - $60K
500,Unknown
8717,$60K - $80K
8046,$40K - $60K
5913,$40K - $60K
2635,$60K - $80K
4468,$40K - $60K
660,$60K - $80K
3152,Less than $40K
7437,$40K - $60K
2198,$60K - $80K
9385,Less than $40K
3033,$80K - $120K
44,Unknown
9202,$80K - $120K
7333,$40K - $60K
3114,$40K - $60K
4680,Less than $40K
5925,Less than $40K
3058,$40K - $60K
3167,$60K - $80K
7952,$40K - $60K
9854,$40K - $60K
6459,Less than $40K
3007,$40K - $60K
6317,Less than $40K
4672,$40K - $60K
1600,Less than $40K
9831,Less than $40K
826,$60K - $80K
9148,Less than $40K
10100,$60K - $80K
10080,Less than $40K
608,$80K - $120K
890,Unknown
2039,$60K - $80K
10105,Less than $40K
8223,Less than $40K
4572,Less than $40K
10029,$40K - $60K
4010,$40K - $60K
4622,Less than $40K
4238,Less than $40K
3884,$40K - $60K
4560,Less than $40K
4413,$60K - $80K
7397,$80K - $120K
4068,$40K - $60K
157,$120K +
7454,Less than $40K
4478,Less than $40K
1839,$60K - $80K
9728,$120K +
9911,$60K - $80K
6540,Less than $40K
2287,$60K - $80K
892,$80K - $120K
9674,$80K - $120K
1132,$80K - $120K
9452,$60K - $80K
9174,$80K - $120K
1859,$80K - $120K
5592,Unknown
6181,Less than $40K
1641,$80K - $120K
6831,$40K - $60K
359,$80K - $120K
5711,Less than $40K
3912,$40K - $60K
6080,Unknown
6016,$60K - $80K
8218,Unknown
6411,Unknown
1876,Less than $40K
8414,Less than $40K
4210,Less than $40K
2773,Less than $40K
828,$40K - $60K
5438,$120K +
4996,Unknown
6688,Unknown
6996,Less than $40K
6017,Less than $40K
7774,$120K +
4317,Less than $40K
185,Unknown
5190,$40K - $60K
6976,Unknown
9214,Unknown
2627,Less than $40K
5341,Less than $40K
8886,Less than $40K
9499,Less than $40K
6120,Less than $40K
338,Less than $40K
6146,Less than $40K
308,$120K +
2356,$80K - $120K
4167,Less than $40K
280,$80K - $120K
4548,$60K - $80K
3391,Unknown
1030,$120K +
3320,Unknown
9140,$40K - $60K
3730,Unknown
3034,$80K - $120K
3497,$60K - $80K
6903,Less than $40K
7197,$60K - $80K
5853,Less than $40K
583,$40K - $60K
6894,$60K - $80K
9074,$60K - $80K
6787,$80K - $120K
3763,$60K - $80K
1114,Less than $40K
7446,$40K - $60K
4309,Unknown
6012,Unknown
4856,$80K - $120K
1855,$80K - $120K
7923,Less than $40K
4708,$120K +
4076,Less than $40K
8908,$80K - $120K
9436,$80K - $120K
636,$40K - $60K
6678,$80K - $120K
3540,$40K - $60K
9947,Less than $40K
183,$60K - $80K
830,$80K - $120K
2658,$80K - $120K
621,$120K +
8179,Less than $40K
1789,Less than $40K
1140,$60K - $80K
9197,Less than $40K
6626,Less than $40K
554,$40K - $60K
837,$60K - $80K
8971,$40K - $60K
9841,$120K +
3255,$60K - $80K
8686,$40K - $60K
7310,Unknown
5822,Less than $40K
5795,Unknown
594,Less than $40K
8663,Unknown
1161,$80K - $120K
2514,$40K - $60K
2704,$80K - $120K
9903,$40K - $60K
9694,Less than $40K
1273,$60K - $80K
2548,Unknown
2370,$60K - $80K
7538,$80K - $120K
9003,Less than $40K
4111,$120K +
533,Less than $40K
9353,$80K - $120K
6756,Less than $40K
8859,$80K - $120K
4891,$60K - $80K
676,$40K - $60K
7810,Less than $40K
8219,Less than $40K
5334,Unknown
6338,Unknown
3434,$120K +
1514,$60K - $80K
9858,Unknown
7414,Less than $40K
7294,Less than $40K
769,$120K +
4444,Less than $40K
22,$40K - $60K
38,$40K - $60K
3193,$120K +
1878,$80K - $120K
3821,$80K - $120K
9664,Unknown
7970,Less than $40K
6165,Unknown
2329,Less than $40K
527,Less than $40K
1877,Unknown
6804,Less than $40K
2726,Unknown
2650,Less than $40K
647,$60K - $80K
5117,$40K - $60K
8890,$120K +
2428,$40K - $60K
5253,Less than $40K
5035,$40K - $60K
6090,$60K - $80K
2735,Unknown
5686,$60K - $80K
4179,$60K - $80K
7109,Less than $40K
7558,$40K - $60K
3331,Less than $40K
299,$40K - $60K
5886,Less than $40K
5346,Unknown
5441,Less than $40K
5906,Less than $40K
1941,Less than $40K
8725,Less than $40K
5292,$40K - $60K
5861,Less than $40K
947,$40K - $60K
1990,Unknown
3539,Less than $40K
7799,$80K - $120K
6305,Less than $40K
7232,$80K - $120K
1396,$60K - $80K
3106,$80K - $120K
1367,Less than $40K
9310,Less than $40K
1557,$60K - $80K
9506,$60K - $80K
7354,$60K - $80K
1923,$80K - $120K
1962,$80K - $120K
5174,Less than $40K
5116,$60K - $80K
175,$40K - $60K
7551,Less than $40K
1153,Unknown
4699,Less than $40K
1982,$40K - $60K
8565,Less than $40K
8934,$40K - $60K
5710,$60K - $80K
9894,$40K - $60K
512,$60K - $80K
6731,Less than $40K
4837,$40K - $60K
736,Unknown
773,Unknown
5274,Less than $40K
8958,Less than $40K
9880,$80K - $120K
8206,Less than $40K
6672,Unknown
2231,Unknown
5712,Less than $40K
9314,Less than $40K
6911,Less than $40K
10050,$120K +
2115,Less than $40K
4320,$120K +
900,$120K +
9146,$60K - $80K
5554,Less than $40K
6036,$40K - $60K
8183,Less than $40K
7802,$80K - $120K
8384,Unknown
9749,$120K +
